"DATE","TIME PERIOD","Government debt (consolidated), percent of GDP (GFS.A.N.AT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.B6.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.BE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.BG.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.CY.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.CZ.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.DE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.DK.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.EE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.ES.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.FI.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.FR.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated) (as % of GDP) (GFS.A.N.GB.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.GR.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.HR.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.HU.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated) (as % of GDP) (GFS.A.N.I8.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.I9.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.IE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.IT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated) (as % of GDP) (GFS.A.N.JP.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.LT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.LU.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.LV.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.MT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.NL.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.PL.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.PT.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.RO.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.SE.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.SI.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated), percent of GDP (GFS.A.N.SK.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)","Government debt (consolidated) (as % of GDP) (GFS.A.N.US.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T)"
"1960-12-31","1960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.918"
"1961-12-31","1961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.346"
"1962-12-31","1962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.443"
"1963-12-31","1963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.972"
"1964-12-31","1964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.051"
"1965-12-31","1965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.124"
"1966-12-31","1966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.311"
"1967-12-31","1967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.435"
"1968-12-31","1968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.928"
"1969-12-31","1969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.788"
"1970-12-31","1970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.971"
"1971-12-31","1971","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.457"
"1972-12-31","1972","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.984"
"1973-12-31","1973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.399"
"1974-12-31","1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.166"
"1975-12-31","1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.814"
"1976-12-31","1976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.919"
"1977-12-31","1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.682"
"1978-12-31","1978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.472"
"1979-12-31","1979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.121"
"1980-12-31","1980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.591"
"1981-12-31","1981","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.902"
"1982-12-31","1982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.080"
"1983-12-31","1983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.770"
"1984-12-31","1984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.460"
"1985-12-31","1985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.306"
"1986-12-31","1986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.923"
"1987-12-31","1987","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.074"
"1988-12-31","1988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.224"
"1989-12-31","1989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.967"
"1990-12-31","1990","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.503"
"1991-12-31","1991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.459"
"1992-12-31","1992","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.549"
"1993-12-31","1993","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.866"
"1994-12-31","1994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.997"
"1995-12-31","1995","68.583","70.960","131.491","76.841","49.744","13.476","54.893","","7.950","61.586","55.205","57.805","44.472","100.387","23.297","83.868","","72.079","79.469","119.088","76.182","11.453","10.191","14.332","34.253","73.162","47.338","62.215","6.609","68.766","18.228","21.310","64.141"
"1996-12-31","1996","68.633","72.142","129.202","244.502","51.012","11.506","57.721","","7.484","65.442","55.363","60.593","44.099","103.724","25.337","71.168","","73.958","71.606","118.896","84.023","13.833","9.971","13.645","38.511","71.372","42.176","63.312","10.621","69.317","21.598","30.340","63.278"
"1997-12-31","1997","63.904","71.307","124.328","96.673","54.865","12.124","58.826","","6.875","64.286","52.236","61.983","47.911","102.599","24.656","62.196","","73.273","62.829","116.491","96.889","15.297","9.470","10.942","46.471","65.809","42.091","58.715","15.059","66.930","22.097","32.826","61.031"
"1998-12-31","1998","64.345","69.889","119.333","66.682","56.409","13.877","59.438","","5.927","62.355","46.845","62.100","45.214","100.785","22.609","60.422","","72.144","51.414","113.887","107.871","16.470","9.078","9.271","50.750","62.779","38.238","55.616","16.800","66.135","22.821","33.853","57.937"
"1999-12-31","1999","67.080","69.504","115.403","75.824","56.526","15.088","60.349","","6.438","60.853","44.064","61.423","40.524","102.843","28.839","60.297","","71.614","46.570","113.059","116.319","22.594","8.074","12.413","61.797","58.694","38.753","55.406","21.722","60.746","23.817","47.126","54.524"
"2000-12-31","2000","66.638","66.582","109.748","70.717","56.466","16.895","59.239","53.553","5.114","57.840","45.140","59.721","38.019","108.854","35.435","55.638","","69.245","36.402","108.743","123.451","23.465","7.496","12.379","61.146","52.242","36.228","54.193","22.487","50.444","26.086","50.598","48.677"
"2001-12-31","2001","67.238","65.756","108.478","64.505","58.051","22.597","58.062","50.096","4.933","54.052","43.443","59.322","35.461","110.535","36.588","52.205","","68.205","33.557","108.513","133.421","22.881","7.626","14.110","65.166","49.496","37.079","57.380","25.869","51.992","26.324","51.351","48.498"
