"country","date","year","sovereign_yield","mps_shock_ois2y","gov_debt_gdp","hh_held_gov_debt_gdp","hh_debt_to_gov_debt"
"AT",1985-01-01,1985,8,NA,NA,NA,NA
"AT",1985-02-01,1985,8,NA,NA,NA,NA
"AT",1985-03-01,1985,8.06,NA,NA,NA,NA
"AT",1985-04-01,1985,8.08,NA,NA,NA,NA
"AT",1985-05-01,1985,8.01,NA,NA,NA,NA
"AT",1985-06-01,1985,7.87,NA,NA,NA,NA
"AT",1985-07-01,1985,7.77,NA,NA,NA,NA
"AT",1985-08-01,1985,7.58,NA,NA,NA,NA
"AT",1985-09-01,1985,7.34,NA,NA,NA,NA
"AT",1985-10-01,1985,7.37,NA,NA,NA,NA
"AT",1985-11-01,1985,7.55,NA,NA,NA,NA
"AT",1985-12-01,1985,7.61,NA,NA,NA,NA
"AT",1986-01-01,1986,7.76,NA,NA,NA,NA
"AT",1986-02-01,1986,7.76,NA,NA,NA,NA
"AT",1986-03-01,1986,7.67,NA,NA,NA,NA
"AT",1986-04-01,1986,7.48,NA,NA,NA,NA
"AT",1986-05-01,1986,7.27,NA,NA,NA,NA
"AT",1986-06-01,1986,7.3,NA,NA,NA,NA
"AT",1986-07-01,1986,7.31,NA,NA,NA,NA
"AT",1986-08-01,1986,7.23,NA,NA,NA,NA
"AT",1986-09-01,1986,7.25,NA,NA,NA,NA
"AT",1986-10-01,1986,7.35,NA,NA,NA,NA
"AT",1986-11-01,1986,7.45,NA,NA,NA,NA
"AT",1986-12-01,1986,7.43,NA,NA,NA,NA
"AT",1987-01-01,1987,7.31,NA,NA,NA,NA
"AT",1987-02-01,1987,7.13,NA,NA,NA,NA
"AT",1987-03-01,1987,7.08,NA,NA,NA,NA
"AT",1987-04-01,1987,6.93,NA,NA,NA,NA
"AT",1987-05-01,1987,6.74,NA,NA,NA,NA
"AT",1987-06-01,1987,6.64,NA,NA,NA,NA
"AT",1987-07-01,1987,6.72,NA,NA,NA,NA
"AT",1987-08-01,1987,6.92,NA,NA,NA,NA
"AT",1987-09-01,1987,7.16,NA,NA,NA,NA
"AT",1987-10-01,1987,7.38,NA,NA,NA,NA
"AT",1987-11-01,1987,7.19,NA,NA,NA,NA
"AT",1987-12-01,1987,6.89,NA,NA,NA,NA
"AT",1988-01-01,1988,6.91,NA,NA,NA,NA
"AT",1988-02-01,1988,6.93,NA,NA,NA,NA
"AT",1988-03-01,1988,6.85,NA,NA,NA,NA
"AT",1988-04-01,1988,6.78,NA,NA,NA,NA
"AT",1988-05-01,1988,6.84,NA,NA,NA,NA
"AT",1988-06-01,1988,6.91,NA,NA,NA,NA
"AT",1988-07-01,1988,6.94,NA,NA,NA,NA
"AT",1988-08-01,1988,7.03,NA,NA,NA,NA
"AT",1988-09-01,1988,7.01,NA,NA,NA,NA
"AT",1988-10-01,1988,6.85,NA,NA,NA,NA
"AT",1988-11-01,1988,6.68,NA,NA,NA,NA
"AT",1988-12-01,1988,6.59,NA,NA,NA,NA
"AT",1989-01-01,1989,6.65,NA,NA,NA,NA
"AT",1989-02-01,1989,6.81,NA,NA,NA,NA
"AT",1989-03-01,1989,6.95,NA,NA,NA,NA
"AT",1989-04-01,1989,7,NA,NA,NA,NA
"AT",1989-05-01,1989,7.2,NA,NA,NA,NA
"AT",1989-06-01,1989,7.14,NA,NA,NA,NA
"AT",1989-07-01,1989,7.11,NA,NA,NA,NA
"AT",1989-08-01,1989,7.1,NA,NA,NA,NA
"AT",1989-09-01,1989,7.17,NA,NA,NA,NA
"AT",1989-10-01,1989,7.27,NA,NA,NA,NA
"AT",1989-11-01,1989,7.62,NA,NA,NA,NA
"AT",1989-12-01,1989,7.82,NA,NA,NA,NA
"AT",1990-01-01,1990,8.18,NA,NA,NA,NA
"AT",1990-02-01,1990,8.54,NA,NA,NA,NA
"AT",1990-03-01,1990,8.77,NA,NA,NA,NA
"AT",1990-04-01,1990,8.79,NA,NA,NA,NA
"AT",1990-05-01,1990,8.83,NA,NA,NA,NA
"AT",1990-06-01,1990,8.83,NA,NA,NA,NA
"AT",1990-07-01,1990,8.69,NA,NA,NA,NA
"AT",1990-08-01,1990,8.83,NA,NA,NA,NA
"AT",1990-09-01,1990,9.01,NA,NA,NA,NA
"AT",1990-10-01,1990,9.05,NA,NA,NA,NA
"AT",1990-11-01,1990,8.9,NA,NA,NA,NA
"AT",1990-12-01,1990,8.76,NA,NA,NA,NA
"AT",1991-01-01,1991,8.91,NA,NA,NA,NA
"AT",1991-02-01,1991,8.56,NA,NA,NA,NA
"AT",1991-03-01,1991,8.4,NA,NA,NA,NA
"AT",1991-04-01,1991,8.41,NA,NA,NA,NA
"AT",1991-05-01,1991,8.48,NA,NA,NA,NA
"AT",1991-06-01,1991,8.5,NA,NA,NA,NA
"AT",1991-07-01,1991,8.61,NA,NA,NA,NA
"AT",1991-08-01,1991,8.64,NA,NA,NA,NA
"AT",1991-09-01,1991,8.6,NA,NA,NA,NA
"AT",1991-10-01,1991,8.51,NA,NA,NA,NA
"AT",1991-11-01,1991,8.54,NA,NA,NA,NA
"AT",1991-12-01,1991,8.55,NA,NA,NA,NA
"AT",1992-01-01,1992,8.31,NA,NA,NA,NA
"AT",1992-02-01,1992,8.23,NA,NA,NA,NA
"AT",1992-03-01,1992,8.25,NA,NA,NA,NA
"AT",1992-04-01,1992,8.3,NA,NA,NA,NA
"AT",1992-05-01,1992,8.34,NA,NA,NA,NA
"AT",1992-06-01,1992,8.39,NA,NA,NA,NA
"AT",1992-07-01,1992,8.44,NA,NA,NA,NA
"AT",1992-08-01,1992,8.43,NA,NA,NA,NA
"AT",1992-09-01,1992,8.22,NA,NA,NA,NA
"AT",1992-10-01,1992,7.83,NA,NA,NA,NA
"AT",1992-11-01,1992,7.74,NA,NA,NA,NA
"AT",1992-12-01,1992,7.37,NA,NA,NA,NA
"AT",1993-01-01,1993,7.22,NA,NA,NA,NA
"AT",1993-02-01,1993,7.13,NA,NA,NA,NA
"AT",1993-03-01,1993,6.86,NA,NA,NA,NA
"AT",1993-04-01,1993,6.93,NA,NA,NA,NA
"AT",1993-05-01,1993,7.06,NA,NA,NA,NA
"AT",1993-06-01,1993,6.99,NA,NA,NA,NA
"AT",1993-07-01,1993,6.75,NA,NA,NA,NA
"AT",1993-08-01,1993,6.6,NA,NA,NA,NA
"AT",1993-09-01,1993,6.44,NA,NA,NA,NA
"AT",1993-10-01,1993,6.26,NA,NA,NA,NA
"AT",1993-11-01,1993,6.18,NA,NA,NA,NA
"AT",1993-12-01,1993,6.04,NA,NA,NA,NA
"AT",1994-01-01,1994,5.81,NA,NA,NA,NA
"AT",1994-02-01,1994,6.06,NA,NA,NA,NA
"AT",1994-03-01,1994,6.45,NA,NA,NA,NA
"AT",1994-04-01,1994,6.67,NA,NA,NA,NA
"AT",1994-05-01,1994,6.97,NA,NA,NA,NA
"AT",1994-06-01,1994,7.41,NA,NA,NA,NA
"AT",1994-07-01,1994,7.12,NA,NA,NA,NA
"AT",1994-08-01,1994,7.2,NA,NA,NA,NA
"AT",1994-09-01,1994,7.57,NA,NA,NA,NA
"AT",1994-10-01,1994,7.69,NA,NA,NA,NA
"AT",1994-11-01,1994,7.72,NA,NA,NA,NA
"AT",1994-12-01,1994,7.63,NA,NA,NA,NA
"AT",1995-01-01,1995,7.72,NA,0.68583,0.48389,NA
"AT",1995-02-01,1995,7.65,NA,0.68583,0.48389,NA
"AT",1995-03-01,1995,7.51,NA,0.68583,0.48389,NA
"AT",1995-04-01,1995,7.37,NA,0.68583,0.48389,NA
"AT",1995-05-01,1995,7.13,NA,0.68583,0.48389,NA
"AT",1995-06-01,1995,7.05,NA,0.68583,0.48389,NA
"AT",1995-07-01,1995,7.11,NA,0.68583,0.48389,NA
"AT",1995-08-01,1995,7,NA,0.68583,0.48389,NA
"AT",1995-09-01,1995,6.88,NA,0.68583,0.48389,NA
"AT",1995-10-01,1995,6.96,NA,0.68583,0.48389,NA
"AT",1995-11-01,1995,6.76,NA,0.68583,0.48389,NA
"AT",1995-12-01,1995,6.47,NA,0.68583,0.48389,NA
"AT",1996-01-01,1996,6.21,NA,0.68633,0.49059,NA
"AT",1996-02-01,1996,6.44,NA,0.68633,0.49059,NA
"AT",1996-03-01,1996,6.55,NA,0.68633,0.49059,NA
"AT",1996-04-01,1996,6.43,NA,0.68633,0.49059,NA
"AT",1996-05-01,1996,6.45,NA,0.68633,0.49059,NA
"AT",1996-06-01,1996,6.63,NA,0.68633,0.49059,NA
"AT",1996-07-01,1996,6.58,NA,0.68633,0.49059,NA
"AT",1996-08-01,1996,6.41,NA,0.68633,0.49059,NA
"AT",1996-09-01,1996,6.3,NA,0.68633,0.49059,NA
"AT",1996-10-01,1996,6.06,NA,0.68633,0.49059,NA
"AT",1996-11-01,1996,5.95,NA,0.68633,0.49059,NA
"AT",1996-12-01,1996,5.86,NA,0.68633,0.49059,NA
"AT",1997-01-01,1997,5.84,NA,0.63904,0.45571,NA
"AT",1997-02-01,1997,5.58,NA,0.63904,0.45571,NA
"AT",1997-03-01,1997,5.71,NA,0.63904,0.45571,NA
"AT",1997-04-01,1997,5.9,NA,0.63904,0.45571,NA
"AT",1997-05-01,1997,5.79,NA,0.63904,0.45571,NA
"AT",1997-06-01,1997,5.78,NA,0.63904,0.45571,NA
"AT",1997-07-01,1997,5.61,NA,0.63904,0.45571,NA
"AT",1997-08-01,1997,5.7,NA,0.63904,0.45571,NA
"AT",1997-09-01,1997,5.63,NA,0.63904,0.45571,NA
"AT",1997-10-01,1997,5.62,NA,0.63904,0.45571,NA
"AT",1997-11-01,1997,5.63,NA,0.63904,0.45571,NA
"AT",1997-12-01,1997,5.4,NA,0.63904,0.45571,NA
"AT",1998-01-01,1998,5.19,NA,0.64345,0.40291,NA
"AT",1998-02-01,1998,5.07,NA,0.64345,0.40291,NA
"AT",1998-03-01,1998,4.97,NA,0.64345,0.40291,NA
"AT",1998-04-01,1998,4.97,NA,0.64345,0.40291,NA
"AT",1998-05-01,1998,5.03,NA,0.64345,0.40291,NA
"AT",1998-06-01,1998,4.89,NA,0.64345,0.40291,NA
"AT",1998-07-01,1998,4.83,NA,0.64345,0.40291,NA
"AT",1998-08-01,1998,4.62,NA,0.64345,0.40291,NA
"AT",1998-09-01,1998,4.31,NA,0.64345,0.40291,NA
"AT",1998-10-01,1998,4.3,NA,0.64345,0.40291,NA
"AT",1998-11-01,1998,4.33,NA,0.64345,0.40291,NA
"AT",1998-12-01,1998,4.05,NA,0.64345,0.40291,NA
"AT",1999-01-01,1999,3.84,0,0.6708,0.354,0.663983303518187
"AT",1999-02-01,1999,3.98,0,0.6708,0.354,0.663983303518187
"AT",1999-03-01,1999,4.16,0,0.6708,0.354,0.663983303518187
"AT",1999-04-01,1999,4.03,0,0.6708,0.354,0.663983303518187
"AT",1999-05-01,1999,4.21,0,0.6708,0.354,0.663983303518187
"AT",1999-06-01,1999,4.54,0,0.6708,0.354,0.663983303518187
"AT",1999-07-01,1999,4.87,0,0.6708,0.354,0.663983303518187
"AT",1999-08-01,1999,5.1,0,0.6708,0.354,0.663983303518187
"AT",1999-09-01,1999,5.27,0,0.6708,0.354,0.663983303518187
"AT",1999-10-01,1999,5.53,0,0.6708,0.354,0.663983303518187
"AT",1999-11-01,1999,5.27,0,0.6708,0.354,0.663983303518187
"AT",1999-12-01,1999,5.35,0.200000000000067,0.6708,0.354,0.663983303518187
"AT",2000-01-01,2000,5.75,-1.50000000000006,0.66638,0.31942,0.678891923527117
"AT",2000-02-01,2000,5.77,0.999999999999979,0.66638,0.31942,0.678891923527117
"AT",2000-03-01,2000,5.59,-5.50000000000007,0.66638,0.31942,0.678891923527117
"AT",2000-04-01,2000,5.49,-1.50000000000006,0.66638,0.31942,0.678891923527117
"AT",2000-05-01,2000,5.66,2.99999999999994,0.66638,0.31942,0.678891923527117
"AT",2000-06-01,2000,5.52,15.175,0.66638,0.31942,0.678891923527117
"AT",2000-07-01,2000,5.6,2.50000000000003,0.66638,0.31942,0.678891923527117
"AT",2000-08-01,2000,5.54,-1.99999999999996,0.66638,0.31942,0.678891923527117
"AT",2000-09-01,2000,5.57,-3.00000000000003,0.66638,0.31942,0.678891923527117
"AT",2000-10-01,2000,5.52,4,0.66638,0.31942,0.678891923527117
"AT",2000-11-01,2000,5.46,-9.20929998926567e-14,0.66638,0.31942,0.678891923527117
"AT",2000-12-01,2000,5.21,2.50000000000004,0.66638,0.31942,0.678891923527117
